instrument_name,instrument_id,date
JINDALSTEL,209,22-05-2019
ADANIENT,403,23-05-2019
JUSTDIAL,197,24-05-2019
MANAPPURAM,168,24-05-2019
GODFRYPHLP,277,27-05-2019
JSWSTEEL,201,27-05-2019
ZEEL,2,28-05-2019
CADILAHC,344,29-05-2019
MANAPPURAM,168,29-05-2019
CONCOR,325,30-05-2019
COALINDIA,328,31-05-2019
CHENNPETRO,331,03-06-2019
UJJIVAN,21,03-06-2019
APOLLOHOSP,390,04-06-2019
KSCL,184,04-06-2019
GAIL,290,06-06-2019
HINDPETRO,249,06-06-2019
GAIL,290,07-06-2019
IBULHSGFIN,244,10-06-2019
SUNTV,55,10-06-2019
BIOCON,351,12-06-2019
INDUSINDBK,226,13-06-2019
CHOLAFIN,330,14-06-2019
HEXAWARE,252,17-06-2019
SRTRANSFIN,64,17-06-2019
OIL,125,18-06-2019
CANFINHOME,342,19-06-2019
JINDALSTEL,209,19-06-2019
APOLLOHOSP,390,20-06-2019
MFSL,160,21-06-2019
TATAMOTORS,44,21-06-2019
GODFRYPHLP,277,24-06-2019
LUPIN,174,24-06-2019
GODFRYPHLP,277,25-06-2019
TATASTEEL,41,25-06-2019
CASTROLIND,339,28-06-2019
MINDTREE,155,28-06-2019
IGL,236,01-07-2019
JINDALSTEL,209,01-07-2019
RAMCOCEM,96,02-07-2019
UPL,18,02-07-2019
JUBLFOOD,199,03-07-2019
ADANIENT,403,04-07-2019
CUMMINSIND,318,04-07-2019
RELIANCE,90,05-07-2019
SBIN,80,05-07-2019
BIOCON,351,08-07-2019
JINDALSTEL,209,08-07-2019
GAIL,290,09-07-2019
TITAN,33,09-07-2019
INDIGO,228,10-07-2019
TCS,38,10-07-2019
SRTRANSFIN,64,11-07-2019
VEDL,16,11-07-2019
INFY,224,12-07-2019
RELIANCE,90,12-07-2019
INDIGO,228,15-07-2019
INFY,224,15-07-2019
JUSTDIAL,197,16-07-2019
MANAPPURAM,168,16-07-2019
CUMMINSIND,318,17-07-2019
STAR,63,17-07-2019
MINDTREE,155,18-07-2019
NTPC,128,18-07-2019
ACC,405,19-07-2019
AMBUJACEM,393,19-07-2019
AMARAJABAT,395,22-07-2019
CESC,333,22-07-2019
JUSTDIAL,197,23-07-2019
TVSMOTOR,25,23-07-2019
TORNTPHARM,30,24-07-2019
ICICIPRULI,240,25-07-2019
SRTRANSFIN,64,25-07-2019
BIOCON,351,26-07-2019
IBULHSGFIN,244,29-07-2019
SUNTV,55,29-07-2019
APOLLOTYRE,389,30-07-2019
STAR,63,30-07-2019
AXISBANK,376,31-07-2019
DIVISLAB,309,01-08-2019
UPL,18,01-08-2019
BHARTIARTL,353,02-08-2019
VEDL,16,02-08-2019
IBULHSGFIN,244,05-08-2019
SBIN,80,05-08-2019
BHARATFORG,354,06-08-2019
SRF,65,06-08-2019
IBULHSGFIN,244,07-08-2019
TITAN,33,07-08-2019
AUROPHARMA,379,08-08-2019
CIPLA,329,08-08-2019
HEXAWARE,252,09-08-2019
TATACHEM,49,09-08-2019
PVR,101,13-08-2019
RELIANCE,90,13-08-2019
APOLLOHOSP,390,14-08-2019
GLENMARK,282,14-08-2019
BIOCON,351,16-08-2019
IBULHSGFIN,244,16-08-2019
IBULHSGFIN,244,19-08-2019
UJJIVAN,21,19-08-2019
CONCOR,325,20-08-2019
MGL,159,20-08-2019
DRREDDY,305,21-08-2019
MCDOWELL-N,164,21-08-2019
IBULHSGFIN,244,22-08-2019
LICHSGFIN,179,22-08-2019
DLF,308,23-08-2019
RBLBANK,94,23-08-2019
IBULHSGFIN,244,26-08-2019
SBIN,80,26-08-2019
MFSL,160,27-08-2019
UJJIVAN,21,27-08-2019
AMBUJACEM,393,28-08-2019
COALINDIA,328,28-08-2019
IBULHSGFIN,244,29-08-2019
SUNPHARMA,57,29-08-2019
TATASTEEL,41,30-08-2019
CANBK,343,03-09-2019
MUTHOOTFIN,146,03-09-2019
BALKRISIND,369,04-09-2019
